king_id;name;nickname;number;birth_year;birth_month;birth_day;death_year;death_month;death_day;reign_start_year;reign_start_month;reign_start_day;reign_end_year;reign_end_month;reign_end_day;sec_reign_start;sec_reign_end
23;Christoffer;NA;1;1219;NA;NA;1259;NA;NA;1252;NA;NA;1259;NA;NA;NA;NA
24;Erik;Klipping;5;1249;NA;NA;1286;NA;NA;1259;NA;NA;1286;NA;NA;NA;NA
25;Erik;Menved;6;1274;NA;NA;1319;NA;NA;1286;NA;NA;1319;NA;NA;NA;NA
26;Christoffer;NA;2;1276;NA;NA;1332;NA;NA;1320;NA;NA;1326;NA;NA;1330;1332
27;Valdemar;Eriksen;3;1314;NA;NA;1330;NA;NA;1326;NA;NA;1330;NA;NA;NA;NA
28;Valdemar;Atterdag;4;1320;NA;NA;1375;NA;NA;1340;NA;NA;1375;NA;NA;NA;NA
29;Oluf;NA;2;1370;NA;NA;1387;NA;NA;1376;NA;NA;1387;NA;NA;NA;NA
30;Margrete;NA;1;1353;NA;;1412;10;28;1387;NA;NA;1412;NA;NA;NA;NA
31;Erik;"""af Pommern""";7;1382;NA;NA;1439;NA;NA;1412;10;28;1459;NA;NA;NA;NA
32;Christoffer;"""af Bayern""";3;1416;NA;NA;1448;NA;NA;1440;NA;NA;1448;NA;NA;NA;NA
33;Christian;NA;1;1426;NA;NA;1481;5;21;1448;NA;NA;1481;5;21;NA;NA
34;Hans;NA;NA;1455;2;2;1513;2;20;1482;NA;NA;1513;2;20;NA;NA
35;Christan;NA;2;1481;7;1;1559;1;25;1513;NA;NA;1523;NA;NA;NA;NA
36;Frederik;NA;1;1471;10;7;1533;4;10;1523;NA;NA;1533;4;10;NA;NA
37;Christian ;NA;3;1503;8;12;1559;1;1;1536;NA;NA;1559;1;1;NA;NA
38;Frederik ;NA;2;1534;7;1;1588;4;4;1559;NA;NA;1588;4;4;NA;NA
39;Christian ;NA;4;1577;4;12;1648;2;28;1596;8;29;1648;2;28;NA;NA
40;Frederik;NA;3;1609;3;18;1670;2;9;1648;2;28;1670;2;9;NA;NA
41;Christian ;NA;5;1646;4;15;1699;8;25;1670;2;9;1699;8;25;NA;NA
42;Frederik;NA;4;1671;10;11;1730;10;12;1699;8;25;1730;10;12;NA;NA
43;Christian ;NA;6;1699;11;30;1746;8;6;1730;10;12;1746;8;6;NA;NA
44;Frederik;NA;5;1723;3;31;1766;1;14;1746;8;6;1766;1;14;NA;NA
45;Christian ;NA;7;1749;1;29;1808;3;13;1766;1;14;1808;3;13;NA;NA
46;Frederik;NA;6;1768;28;1;1839;12;3;1808;3;13;1839;12;3;NA;NA
47;Christian ;NA;8;1786;9;18;1848;1;20;1839;12;3;1848;1;20;NA;NA
48;Frederik;NA;7;1808;10;6;1863;11;15;1848;1;20;1863;11;15;NA;NA
49;Christian ;NA;9;1818;4;8;1906;1;29;1863;11;15;1906;1;29;NA;NA
50;Frederik;NA;8;1843;6;3;1912;5;14;1906;1;29;1912;5;14;NA;NA
51;Christian ;NA;10;1870;9;26;1947;4;20;1912;5;14;1947;4;20;NA;NA
52;Frederik;NA;9;1899;3;11;1972;1;14;1947;4;20;1972;1;14;NA;NA
53;Magrethe;NA;2;1940;4;16;NA;NA;NA;1972;1;14;2024;1;14;NA;NA
54;Frederik;NA;10;1968;5;26;NA;NA;NA;2024;1;14;NA;NA;NA;NA;NA
